source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2514534887,463541796]	[12,-57]	1782604308	5	4
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2514534887,4134128864]	[12,-25]	1782604308	5	4
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2514534887,3679577712]	[12,-54]	1782604309	5	3
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[4057180619,3769419105]	[21,-59]	1782604311	5	3
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[4057180619,3769419105,2718568032]	[21,-59,1]	1782604311	5	2
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2514534887,382653020,1419604483,3662013048,3174462519]	[12,-42,-52,8,-10]	1782604312	5	\N
!6ceacf1b	!ba76ec7c	[4226746274,861770332,4057180619]	[-2,-46,1,15]	[2514534887,382653020,1419604483,3662013048,4226746274,501818444]	[12,-42,-52,8,29,37]	1782604315	5	1
!ccc1847e	!6c73c324	[2697721328,3623416008,2271074080,1200218284,382653976]	[11,-51,-50,-51,27]	[]	[]	1782604544	7	2
!ccc1847e	!6c73c324	[2697721328,1991451555,3175772276]	[11,-31,-56]	[]	[]	1782604550	7	5
!ccc1847e	!6c73c324	[2697721328,3623416008,2271074080,1200218284,382653976,2786566602]	[11,-51,-50,-51,27,-21]	[]	[]	1782604551	7	1
!ccc1847e	!6c73c324	[2697721328,1991451555,3754905013]	[11,-31,-67]	[]	[]	1782604551	7	4
!ccc1847e	!6c73c324	[2697721328,1991451555,2290920299,3317224028]	[11,-31,-36,-50]	[]	[]	1782604559	7	3
!ccc1847e	!6c73c324	[2697721328,1991451555,2290920299,3317224028]	[11,-31,-36,-50]	[]	[]	1782604559	7	3
!ccc1847e	!6c73c324	[2697721328,1991451555,3663334116,4234303654,1481930160]	[11,-31,0,-35,-8]	[]	[]	1782604559	7	2
!ccc1847e	!6c73c324	[2697721328,1991451555,2290920299,3317224028,1971413423,3791727890,2050093032,67553744]	[11,-31,-36,-50,-58,-44,-35,-38]	[]	[]	1782604570	7	\N
!ccc1847e	!6c73c324	[2697721328,1991451555,2290920299,3317224028,3032118381,178191164,3461879968]	[11,-31,-36,-50,-61,-42,-56]	[]	[]	1782604574	7	\N
!ccc1847e	!33678068	[2697721328,2801488335,3623416008,2290920299,314841542,1681018022,3175772276]	[-29,-41,-42,0,-24,-61,-37]	[]	[]	1782604618	7	1
