proto,hour,delivered,sent
GRADCOR-R,32,87,182
GRADCOR-R,33,89,189
GRADCOR-R,34,98,204
GRADCOR-R,35,88,183
GRADCOR-R,36,86,191
GRADCOR-R,37,91,197
GRADCOR-R,38,88,204
GRADCOR-R,39,102,173
GRADCOR-R,40,94,162
GRADCOR-R,41,81,159
GRADCOR-R,42,80,158
GRADCOR-R,43,79,142
GRADCOR-R,44,79,146
GRADCOR-R,45,85,185
GRADCOR-R,46,78,158
GRADCOR-R,47,76,167
GRADCOR-R,48,81,163
GRADCOR-R,49,91,160
GRADCOR-R,50,86,174
GRADCOR-R,51,85,182
GRADCOR-R,52,95,186
GRADCOR-R,53,94,191
GRADCOR-R,54,83,194
GRADCOR-R,55,82,181
GRADCOR-R,56,80,188
GRADCOR-R,57,86,203
GRADCOR-R,58,101,207
GRADCOR-R,59,109,204
GRADCOR-R,60,101,210
GRADCOR-R,61,89,195
GRADCOR-R,62,108,202
GRADCOR-R,63,87,199
GRADCOR-R,64,101,183
GRADCOR-R,65,100,182
GRADCOR-R,66,90,192
GRADCOR-R,67,89,164
GRADCOR-R,68,92,173
GRADCOR-R,69,94,171
GRADCOR-R,70,88,169
GRADCOR-R,71,99,157
GRADCOR-R,72,106,198
GRADCOR-R,73,95,188
GRADCOR-R,74,90,184
GRADCOR-R,75,102,193
GRADCOR-R,76,108,192
GRADCOR-R,77,103,182
GRADCOR-R,78,102,193
GRADCOR-R,79,87,187
GRADCOR-R,80,92,191
GRADCOR-R,81,105,197
GRADCOR-R,82,99,201
GRADCOR-R,83,113,210
GRADCOR-R,84,95,207
GRADCOR-R,85,113,203
GRADCOR-R,86,104,185
GRADCOR-R,87,100,198
GRADCOR-R,88,99,187
GRADCOR-R,89,99,174
GRADCOR-R,90,104,181
GRADCOR-R,91,97,162
GRADCOR-R,92,97,184
GRADCOR-R,93,90,186
GRADCOR-R,94,97,188
GRADCOR-R,95,114,185
GRADCOR-R,96,101,201
GRADCOR-R,97,106,198
GRADCOR-R,98,111,195
GRADCOR-R,99,104,189
GRADCOR-R,100,105,195
GRADCOR-R,101,97,192
GRADCOR-R,102,108,192
GRADCOR-R,103,98,182
GRADCOR-R,104,101,183
GRADCOR-R,105,119,191
GRADCOR-R,106,110,219
GRADCOR-R,107,126,215
GRADCOR-R,108,124,211
GRADCOR-R,109,115,213
GRADCOR-R,110,109,215
GRADCOR-R,111,108,190
GRADCOR-R,112,96,181
GRADCOR-R,113,100,169
GRADCOR-R,114,75,160
GRADCOR-R,115,88,152
GRADCOR-R,116,88,158
GRADCOR-R,117,79,178
GRADCOR-R,118,90,184
GRADCOR-R,119,93,188
GRADCOR-R,120,89,191
GRADCOR-R,121,92,186
GRADCOR-R,122,86,189
GRADCOR-R,123,99,186
GRADCOR-R,124,87,187
GRADCOR-R,125,94,174
GRADCOR-R,126,85,168
GRADCOR-R,127,78,168
GRADCOR-R,128,86,158
GRADCOR-R,129,89,172
GRADCOR-R,130,109,193
GRADCOR-R,131,84,164
GRADCOR-R,132,94,162
GRADCOR-R,133,77,166
GRADCOR-R,134,103,199
GRADCOR-R,135,92,200
GRADCOR-R,136,104,176
GRADCOR-R,137,93,163
GRADCOR-R,138,84,162
GRADCOR-R,139,84,152
GRADCOR-R,140,76,158
GRADCOR-R,141,90,153
GRADCOR-R,142,98,161
GRADCOR-R,143,99,160
GRADCOR-R,144,92,161
GRADCOR-R,145,88,163
GRADCOR-R,146,91,177
GRADCOR-R,147,103,194
GRADCOR-R,148,110,206
GRADCOR-R,149,110,181
GRADCOR-R,150,109,177
GRADCOR-R,151,96,172
GRADCOR-R,152,102,201
GRADCOR-R,153,118,206
GRADCOR-R,154,103,203
GRADCOR-R,155,102,202
GRADCOR-R,156,103,200
GRADCOR-R,157,91,194
GRADCOR-R,158,94,170
GRADCOR-R,159,94,167
GRADCOR-R,160,102,186
GRADCOR-R,161,104,177
GRADCOR-R,162,96,172
GRADCOR-R,163,92,172
GRADCOR-R,164,89,165
GRADCOR-R,165,86,158
GRADCOR-R,166,97,153
GRADCOR-R,167,65,119
