source_node_id	dest_node_id	route	snr_towards	route_back	snr_back	ts	hop_start	hop_limit	request_id
!f6700eb0	!688d837e	[3783007151,2323964937]	[43,-23]	[]	[]	1782568842	7	6	0
!f6700eb0	!688d837e	[3783007151,2323964937,70044471,1725113834]	[43,-23,48,-29]	[]	[]	1782568843	7	6	0
!a1d75fc4	!435690a4	[1780406593,1770251612]	[48,-24]	[]	[]	1782568867	7	5	0
!a1d75fc4	!435690a4	[1780406593,1770251612,501821116]	[48,-24,-14]	[]	[]	1782568868	7	5	0
!a1d75fc4	!435690a4	[1780406593,1770251612,1197648663,501857110]	[48,-24,-46,11]	[]	[]	1782568870	7	3	0
!4063ec8	!4836d0b	[3665717525]	[-46,19]	[4134253872]	[5]	1782568980	3	2	0
!a1d75fc4	!400a2bc	[1780406593,1130030704,2274067141]	[52,-11,-31]	[]	[]	1782569042	7	4	0
!a1d75fc4	!400a2bc	[1780406593,1130030704,2274067141,501821116]	[52,-11,-31,5]	[]	[]	1782569044	7	3	0
!a1d75fc4	!400a2bc	[1780406593,1130030704,2274067141,2956853352,1197648663,501857110,1441939872]	[52,-11,-31,20,-47,26,50]	[]	[]	1782569048	7	\N	0
!4063ec8	!4836d0b	[3724731542]	[-1,-8]	[4134198428,4054302076]	[13,23]	1782569150	3	1	0
!f6700eb0	!4050cd8	[3783007151,2323964937]	[43,-19]	[]	[]	1782569742	7	6	0
!f6700eb0	!4050cd8	[3783007151,2323964937,70044471,1725113834]	[43,-19,51,-35]	[]	[]	1782569749	7	6	0
!a1d75fc4	!bc26463f	[1780406593,4134126952,1770251612,1197648663,501857110]	[46,-21,-1,-44,27]	[]	[]	1782569770	7	2	0
!a1d75fc4	!bc26463f	[1780406593,4134126952,1770251612,70947496,463615188,2274067141]	[46,-21,-1,-12,12,-41]	[]	[]	1782569771	7	1	0
!a1d75fc4	!bc26463f	[1780406593,4134126952,1770251612,70947496,463615188,2274067141,501821116]	[46,-21,-1,-12,12,-41,3]	[]	[]	1782569772	7	\N	0
!64db0a84	!433c7c48	[1151812846,2676575955]	[48,28,43]	[1770386388,4294967295,2676575955,4134198428]	[15,-128,-29,46]	1782569783	4	1	0
!a1d75fc4	!1de9bb56	[1780406593,1770251612]	[49,-33]	[]	[]	1782569938	7	5	0
!a1d75fc4	!1de9bb56	[1780406593,1770251612,501821116]	[49,-33,-34]	[]	[]	1782569940	7	5	0
!b1610d41	!433ddd98	[4134538928]	[-28]	[]	[]	1782570058	7	7	0
!b1610d41	!433ddd98	[3783007151,2323964937]	[48,-20]	[]	[]	1782570059	7	6	0
!6c73bdb4	!62f9fcfc	[501821116,436431638,1770251612,1197648663,501857110]	[51,-23,39,-41,22]	[]	[]	1782570073	7	2	0
!a1d75fc4	!406c77c	[1780406593,4134126952,241233033,1692561267]	[44,-33,-2,22]	[]	[]	1782570122	7	3	0
!a1d75fc4	!406c77c	[1780406593,4134126952,241233033,1692561267,501821116]	[44,-33,-2,22,-43]	[]	[]	1782570123	7	2	0
!64e26f73	!85d2fa9e	[4013217441,3163572056,341110149,1770251612]	[47,29,35,39,36]	[]	[]	1782570376	4	4	0
!64e26f73	!85d2fa9e	[4013217441,3163572056,341110149,1770251612]	[47,29,35,39,36]	[501821116]	[-42]	1782570377	4	3	0
!a1d75fc4	!2bbe7f39	[1780406593,1130030704,2274067141]	[50,2,-38]	[]	[]	1782570514	7	4	0
!a1d75fc4	!2bbe7f39	[1780406593,1130030704,2274067141,501821116]	[50,2,-38,11]	[]	[]	1782570516	7	3	0
!f6700eb0	!aa8afc20	[3783007151,2323964937]	[43,-21]	[]	[]	1782570630	7	6	0
!f6700eb0	!aa8afc20	[3783007151,2323964937,70044471,1725113834]	[43,-21,50,-34]	[]	[]	1782570641	7	6	0
!a1d75fc4	!62f8ee94	[1780406593,1770251612]	[51,-35]	[]	[]	1782570841	7	5	0
!a1d75fc4	!62f8ee94	[1780406593,1770251612,501821116]	[51,-35,-37]	[]	[]	1782570842	7	5	0
!a1d75fc4	!62f8ee94	[1780406593,1770251612,1197648663,501857110]	[51,-35,-42,22]	[]	[]	1782570844	7	3	0
!b1610d41	!5c6bb204	[1731139699,4134538928]	[27,46]	[]	[]	1782570958	7	6	0
!b1610d41	!5c6bb204	[3783007151,2323964937]	[46,-19]	[]	[]	1782570959	7	6	0
