source_node_id	hour	msgs
!49637f26	2026-07-03 06:00:00	36
!49637f26	2026-07-03 07:00:00	16
!49637f26	2026-07-03 08:00:00	2
!49637f26	2026-07-03 09:00:00	24
!49637f26	2026-07-03 10:00:00	8
!49637f26	2026-07-03 11:00:00	38
!49637f26	2026-07-03 12:00:00	38
!49637f26	2026-07-03 13:00:00	66
!49637f26	2026-07-03 14:00:00	40
!49637f26	2026-07-03 15:00:00	40
!49637f26	2026-07-03 16:00:00	38
!49637f26	2026-07-03 17:00:00	38
!49637f26	2026-07-03 18:00:00	34
!49637f26	2026-07-03 19:00:00	28
!49637f26	2026-07-03 20:00:00	32
!49637f26	2026-07-03 21:00:00	32
!49637f26	2026-07-03 22:00:00	4
!49637f26	2026-07-03 23:00:00	8
!49637f26	2026-07-04 00:00:00	8
!49637f26	2026-07-04 01:00:00	12
!49637f26	2026-07-04 02:00:00	8
!49637f26	2026-07-04 03:00:00	4
!49637f26	2026-07-04 04:00:00	12
!49637f26	2026-07-04 05:00:00	10
!49637f26	2026-07-04 06:00:00	8
!49637f26	2026-07-04 07:00:00	10
!49637f26	2026-07-04 08:00:00	12
!49637f26	2026-07-04 09:00:00	4
!49637f26	2026-07-04 10:00:00	6
!49637f26	2026-07-04 11:00:00	10
!49b5b764	2026-06-27 15:00:00	16
!49b5b764	2026-06-28 13:00:00	4
!49b5b764	2026-06-28 19:00:00	2
!49b5b764	2026-07-01 18:00:00	16
!49b5b764	2026-07-02 19:00:00	6
!49ea4c9c	2026-06-27 11:00:00	1
!49ea4c9c	2026-06-27 12:00:00	12
!49ea4c9c	2026-06-27 13:00:00	11
!49ea4c9c	2026-06-27 14:00:00	7
!49ea4c9c	2026-06-27 15:00:00	6
!49ea4c9c	2026-06-27 16:00:00	6
!49ea4c9c	2026-06-27 17:00:00	10
!49ea4c9c	2026-06-27 18:00:00	12
!49ea4c9c	2026-06-27 19:00:00	8
!49ea4c9c	2026-06-27 20:00:00	5
!49ea4c9c	2026-06-27 21:00:00	9
!49ea4c9c	2026-06-27 22:00:00	5
!49ea4c9c	2026-06-27 23:00:00	10
!49ea4c9c	2026-06-28 00:00:00	7
!49ea4c9c	2026-06-28 01:00:00	14
!49ea4c9c	2026-06-28 02:00:00	17
!49ea4c9c	2026-06-28 03:00:00	7
!49ea4c9c	2026-06-28 04:00:00	7
!49ea4c9c	2026-06-28 05:00:00	7
!49ea4c9c	2026-06-28 06:00:00	8
!49ea4c9c	2026-06-28 07:00:00	8
!49ea4c9c	2026-06-28 08:00:00	12
!49ea4c9c	2026-06-28 09:00:00	8
!49ea4c9c	2026-06-28 10:00:00	7
!49ea4c9c	2026-06-28 11:00:00	14
!49ea4c9c	2026-06-28 12:00:00	8
!49ea4c9c	2026-06-28 13:00:00	20
!49ea4c9c	2026-06-28 14:00:00	26
!49ea4c9c	2026-06-28 15:00:00	14
!49ea4c9c	2026-06-28 16:00:00	12
!49ea4c9c	2026-06-28 17:00:00	24
!49ea4c9c	2026-06-28 18:00:00	22
!49ea4c9c	2026-06-28 19:00:00	10
!49ea4c9c	2026-06-28 20:00:00	12
!49ea4c9c	2026-06-28 21:00:00	18
!49ea4c9c	2026-06-28 22:00:00	10
!49ea4c9c	2026-06-28 23:00:00	20
!49ea4c9c	2026-06-29 00:00:00	24
!49ea4c9c	2026-06-29 01:00:00	22
!49ea4c9c	2026-06-29 02:00:00	20
!49ea4c9c	2026-06-29 03:00:00	26
!49ea4c9c	2026-06-29 04:00:00	18
!49ea4c9c	2026-06-29 05:00:00	10
!49ea4c9c	2026-06-29 06:00:00	22
!49ea4c9c	2026-06-29 07:00:00	10
!49ea4c9c	2026-06-29 08:00:00	22
!49ea4c9c	2026-06-29 09:00:00	12
!49ea4c9c	2026-06-29 10:00:00	14
